index,horizon,n_test,accuracy,macro_f1,majority_acc
KOSPI,1,244,0.38934426229508196,0.38722832722832723,0.35655737704918034
KOSPI,5,244,0.319672131147541,0.30498493417766387,0.3729508196721312
KOSPI,21,244,0.3729508196721312,0.3495411118934835,0.36065573770491804
KOSPI,252,244,0.5491803278688525,0.25044563279857396,0.10655737704918032
KOSDAQ,1,244,0.39344262295081966,0.3222446841207614,0.3401639344262295
KOSDAQ,5,244,0.38934426229508196,0.3495778776328579,0.3360655737704918
KOSDAQ,21,244,0.3237704918032787,0.2718372766779334,0.27459016393442626
KOSDAQ,252,244,0.4016393442622951,0.3327608142493639,0.5081967213114754
