date,index,n_active,norm_entropy,top1_lift,top5_mass
2024-12-02,KOSDAQ,30,0.9998916430678931,1.0614906549453735,0.17344126105308533
2024-12-02,KOSPI,30,0.9998916430678931,1.0614906549453735,0.17344126105308533
2024-12-03,KOSDAQ,30,0.9998712444262581,1.0681562423706055,0.1743132323026657
2024-12-03,KOSPI,30,0.9998712444262581,1.0681562423706055,0.1743132323026657
2024-12-04,KOSDAQ,30,0.9998922038552921,1.0726606845855713,0.17337629199028015
2024-12-04,KOSPI,30,0.9998922038552921,1.0726606845855713,0.17337629199028015
2024-12-05,KOSDAQ,30,0.9997606992102497,1.0790406465530396,0.17781978845596313
2024-12-05,KOSPI,30,0.9997606992102497,1.0790406465530396,0.17781978845596313
2024-12-06,KOSDAQ,30,0.9998962695639341,1.0681962966918945,0.17389430105686188
2024-12-06,KOSPI,30,0.9998962695639341,1.0681962966918945,0.17389430105686188
2024-12-09,KOSDAQ,30,0.9999032093079955,1.0502994060516357,0.17359530925750732
2024-12-09,KOSPI,30,0.9999032093079955,1.0502994060516357,0.17359530925750732
2024-12-10,KOSDAQ,30,0.9998844229301322,1.0757755041122437,0.17537297308444977
2024-12-10,KOSPI,30,0.9998844229301322,1.0757755041122437,0.17537297308444977
2024-12-11,KOSDAQ,30,0.9998006553124213,1.1037019491195679,0.17647531628608704
2024-12-11,KOSPI,30,0.9998006553124213,1.1037019491195679,0.17647531628608704
2024-12-12,KOSDAQ,30,0.999901386748949,1.0557467937469482,0.17388562858104706
2024-12-12,KOSPI,30,0.999901386748949,1.0557467937469482,0.17388562858104706
2024-12-13,KOSDAQ,30,0.9998577154302596,1.0843249559402466,0.1741091012954712
2024-12-13,KOSPI,30,0.9998577154302596,1.0843249559402466,0.1741091012954712
2024-12-16,KOSDAQ,30,0.9998994239930529,1.0583068132400513,0.17327949404716492
2024-12-16,KOSPI,30,0.9998994239930529,1.0583068132400513,0.17327949404716492
2024-12-17,KOSDAQ,30,0.9998812685010134,1.045146107673645,0.17268237471580505
2024-12-17,KOSPI,30,0.9998812685010134,1.045146107673645,0.17268237471580505
2024-12-18,KOSDAQ,30,0.999914144662274,1.067723274230957,0.17288218438625336
2024-12-18,KOSPI,30,0.999914144662274,1.067723274230957,0.17288218438625336
2024-12-19,KOSDAQ,30,0.9998130627336221,1.093835711479187,0.177047997713089
2024-12-19,KOSPI,30,0.9998130627336221,1.093835711479187,0.177047997713089
2024-12-20,KOSDAQ,25,0.9998869895485456,1.0406709909439087,0.20650389790534973
2024-12-20,KOSPI,25,0.9998869895485456,1.0406709909439087,0.20650389790534973
2024-12-23,KOSDAQ,30,0.9998501448003745,1.0490648746490479,0.17342156171798706
2024-12-23,KOSPI,30,0.9998501448003745,1.0490648746490479,0.17342156171798706
2024-12-24,KOSDAQ,30,0.9998533693279181,1.0978442430496216,0.17447516322135925
2024-12-24,KOSPI,30,0.9998533693279181,1.0978442430496216,0.17447516322135925
2024-12-26,KOSDAQ,30,0.9998628326152745,1.0607075691223145,0.17434106767177582
2024-12-26,KOSPI,30,0.9998628326152745,1.0607075691223145,0.17434106767177582
2024-12-27,KOSDAQ,30,0.9997881777927958,1.0528913736343384,0.17467381060123444
2024-12-27,KOSPI,30,0.9997881777927958,1.0528913736343384,0.17467381060123444
2024-12-30,KOSDAQ,30,0.9998891195245981,1.0566447973251343,0.17299333214759827
2024-12-30,KOSPI,30,0.9998891195245981,1.0566447973251343,0.17299333214759827
