index,horizon,n_test,accuracy,macro_f1,majority_acc
KOSPI,1,244,0.36885245901639346,0.36894387663618433,0.35655737704918034
KOSPI,5,244,0.3483606557377049,0.33560874827200043,0.3729508196721312
KOSPI,21,244,0.3770491803278688,0.35678725522734817,0.36065573770491804
KOSPI,252,244,0.5081967213114754,0.2970205435203928,0.10655737704918032
KOSDAQ,1,244,0.3483606557377049,0.281568282408148,0.3401639344262295
KOSDAQ,5,244,0.3442622950819672,0.28807881773399013,0.3360655737704918
KOSDAQ,21,244,0.29918032786885246,0.26755104638266153,0.27459016393442626
KOSDAQ,252,244,0.45491803278688525,0.33227346384618756,0.5081967213114754
