date,index,n_active,norm_entropy,top1_lift,top5_mass
2024-01-02,KOSDAQ,30,0.9999986132642336,1.005921721458435,0.16750270128250122
2024-01-02,KOSPI,30,0.9999986132642336,1.005921721458435,0.16750270128250122
2024-01-03,KOSDAQ,30,0.9999987534610834,1.0068343877792358,0.1673896163702011
2024-01-03,KOSPI,30,0.9999987534610834,1.0068343877792358,0.1673896163702011
2024-01-04,KOSDAQ,30,0.999998893657933,1.005414605140686,0.16739265620708466
2024-01-04,KOSPI,30,0.999998893657933,1.005414605140686,0.16739265620708466
2024-01-05,KOSDAQ,30,0.9999984730673839,1.0058159828186035,0.16736727952957153
2024-01-05,KOSPI,30,0.9999984730673839,1.0058159828186035,0.16736727952957153
2024-01-08,KOSDAQ,30,0.9999983328705341,1.0052627325057983,0.16738374531269073
2024-01-08,KOSPI,30,0.9999983328705341,1.0052627325057983,0.16738374531269073
2024-01-09,KOSDAQ,30,0.9999986132642336,1.0056062936782837,0.16739803552627563
2024-01-09,KOSPI,30,0.9999986132642336,1.0056062936782837,0.16739803552627563
2024-01-10,KOSDAQ,30,0.9999986132642336,1.0059176683425903,0.16747142374515533
2024-01-10,KOSPI,30,0.9999986132642336,1.0059176683425903,0.16747142374515533
2024-01-11,KOSDAQ,30,0.9999986132642336,1.0045127868652344,0.16734552383422852
2024-01-11,KOSPI,30,0.9999986132642336,1.0045127868652344,0.16734552383422852
2024-01-12,KOSDAQ,30,0.9999988235595082,1.0049184560775757,0.1673925518989563
2024-01-12,KOSPI,30,0.9999988235595082,1.0049184560775757,0.1673925518989563
2024-01-15,KOSDAQ,30,0.9999986132642336,1.006059169769287,0.16736455261707306
2024-01-15,KOSPI,30,0.9999986132642336,1.006059169769287,0.16736455261707306
2024-01-16,KOSDAQ,30,0.9999988235595082,1.0050053596496582,0.16735771298408508
2024-01-16,KOSPI,30,0.9999988235595082,1.0050053596496582,0.16735771298408508
2024-01-17,KOSDAQ,30,0.9999984730673839,1.0058176517486572,0.167377769947052
2024-01-17,KOSPI,30,0.9999984730673839,1.0058176517486572,0.167377769947052
2024-01-18,KOSDAQ,30,0.9999988235595082,1.0041066408157349,0.1671929806470871
2024-01-18,KOSPI,30,0.9999988235595082,1.0041066408157349,0.1671929806470871
2024-01-19,KOSDAQ,30,0.9999986833626584,1.00642991065979,0.16738469898700714
2024-01-19,KOSPI,30,0.9999986833626584,1.00642991065979,0.16738469898700714
2024-01-22,KOSDAQ,30,0.9999981225752596,1.0077157020568848,0.16752015054225922
2024-01-22,KOSPI,30,0.9999981225752596,1.0077157020568848,0.16752015054225922
2024-01-23,KOSDAQ,30,0.9999974916894357,1.0107921361923218,0.16772252321243286
2024-01-23,KOSPI,30,0.9999974916894357,1.0107921361923218,0.16772252321243286
2024-01-24,KOSDAQ,30,0.9999974916894357,1.0062587261199951,0.1675698310136795
2024-01-24,KOSPI,30,0.9999974916894357,1.0062587261199951,0.1675698310136795
2024-01-25,KOSDAQ,30,0.999998402968959,1.0069864988327026,0.16747497022151947
2024-01-25,KOSPI,30,0.999998402968959,1.0069864988327026,0.16747497022151947
2024-01-26,KOSDAQ,30,0.9999991039532076,1.005232334136963,0.16728368401527405
2024-01-26,KOSPI,30,0.9999991039532076,1.005232334136963,0.16728368401527405
2024-01-29,KOSDAQ,30,0.9999990338547827,1.0053181648254395,0.16726306080818176
2024-01-29,KOSPI,30,0.9999990338547827,1.0053181648254395,0.16726306080818176
2024-01-30,KOSDAQ,30,0.9999979823784099,1.005115032196045,0.1673865169286728
2024-01-30,KOSPI,30,0.9999979823784099,1.005115032196045,0.1673865169286728
2024-01-31,KOSDAQ,30,0.999998402968959,1.0052021741867065,0.16744735836982727
2024-01-31,KOSPI,30,0.999998402968959,1.0052021741867065,0.16744735836982727
2024-02-01,KOSDAQ,30,0.9999977720831352,1.0064711570739746,0.16750949621200562
2024-02-01,KOSPI,30,0.9999977720831352,1.0064711570739746,0.16750949621200562
2024-02-02,KOSDAQ,30,0.9999981225752596,1.0060993432998657,0.16753792762756348
2024-02-02,KOSPI,30,0.9999981225752596,1.0060993432998657,0.16753792762756348
