index,horizon,n_test,accuracy,macro_f1,tau_lo,tau_hi
KOSPI,1,20,0.15,0.12287581699346406,13.0,28.0
KOSPI,5,20,0.3,0.2676236044657097,13.669950738916256,26.0
KOSPI,21,20,0.2,0.17777777777777778,15.0,25.0
KOSPI,252,20,0.25,0.13333333333333333,2.0,19.0
KOSDAQ,1,20,0.2,0.1608187134502924,14.0,27.334975369458107
KOSDAQ,5,20,0.2,0.14035087719298245,17.0,28.0
KOSDAQ,21,20,0.05,0.031746031746031744,22.0,32.0
KOSDAQ,252,20,0.05,0.031746031746031744,23.42364532019704,32.0
