date,index_name,rank,attention_weight,headline
2024-12-06,KOSPI,3,0.03438236191868782,"英 언론 비상 계엄 맹비난 ""韓 대통령 탄핵 돼야"""
2024-12-06,KOSPI,4,0.03424398601055145,"[사설] 대통령은 국민 앞에 서고, 내각은 韓총리 중심으로 공백 메워야"
2024-12-06,KOSPI,5,0.0341481938958168,“美 주식 내년에도 좋겠지만 버블 붕괴 대비해 금 비중 늘려야”
2024-12-09,KOSDAQ,1,0.0355098582804203,"젤렌스키 만난 트럼프, 푸틴 향해 ""우크라전 즉각 휴전해야"""
2024-12-09,KOSDAQ,2,0.03503572568297386,"""외국인 투자자 다 빠져나갈 판"" '계엄 쇼크' 난리 난 밸류업 [노정동의 어쩌다 투자자]"
2024-12-09,KOSDAQ,3,0.03457310050725937,미 정부 “한국 민주적 제도 절차 작동하길 촉구”
2024-12-09,KOSDAQ,4,0.034300800412893295,"러시아 외무부 “알아사드 대통령, 시리아 떠났다”"
2024-12-09,KOSDAQ,5,0.03424273431301117,"이준석 ""한동훈, 소통령 행세 안달 후계자 자처 딱하다"""
2024-12-09,KOSPI,1,0.0355098582804203,"젤렌스키 만난 트럼프, 푸틴 향해 ""우크라전 즉각 휴전해야"""
2024-12-09,KOSPI,2,0.03503572568297386,"""외국인 투자자 다 빠져나갈 판"" '계엄 쇼크' 난리 난 밸류업 [노정동의 어쩌다 투자자]"
2024-12-09,KOSPI,3,0.03457310050725937,미 정부 “한국 민주적 제도 절차 작동하길 촉구”
2024-12-09,KOSPI,4,0.034300800412893295,"러시아 외무부 “알아사드 대통령, 시리아 떠났다”"
2024-12-09,KOSPI,5,0.03424273431301117,"이준석 ""한동훈, 소통령 행세 안달 후계자 자처 딱하다"""
2024-12-10,KOSDAQ,1,0.0354456901550293,"[만물상] 집안의 저승 문, 욕실"
2024-12-10,KOSDAQ,2,0.0347609668970108,"TSMC 창업자 ""인텔, 파운드리 노력 대신 AI 집중했어야"""
2024-12-10,KOSDAQ,3,0.03458380699157715,"中 ""중국기업 차별 반독점법 위반"" 혐의로 엔비디아 조사"
2024-12-10,KOSDAQ,4,0.03445160761475563,"월가 분석가 ""리비안, 점유율 올라갈 것"" '매수' 평가"
2024-12-10,KOSDAQ,5,0.034346990287303925,"중국, 엔비디아 ‘반독점법 위반 혐의’ 조사 착수"
2024-12-10,KOSPI,1,0.0354456901550293,"[만물상] 집안의 저승 문, 욕실"
2024-12-10,KOSPI,2,0.0347609668970108,"TSMC 창업자 ""인텔, 파운드리 노력 대신 AI 집중했어야"""
2024-12-10,KOSPI,3,0.03458380699157715,"中 ""중국기업 차별 반독점법 위반"" 혐의로 엔비디아 조사"
2024-12-10,KOSPI,4,0.03445160761475563,"월가 분석가 ""리비안, 점유율 올라갈 것"" '매수' 평가"
2024-12-10,KOSPI,5,0.034346990287303925,"중국, 엔비디아 ‘반독점법 위반 혐의’ 조사 착수"
2024-12-11,KOSDAQ,1,0.03678806498646736,"두산그룹, 결국 사업재편 철회 계엄 여파 주가 급락 영향"
2024-12-11,KOSDAQ,2,0.03535861521959305,"애플, '트럼프 관세' 우려에도 주가 오르네 월가도 '갸우뚱'"
2024-12-11,KOSDAQ,3,0.034824270755052567,"美 상무부, 마이크론에 61억달러 보조금 최종 확정"
2024-12-11,KOSDAQ,4,0.03478827327489853,12 3 내란사태 뒤 첫 강남 분양 ‘로또 청약’ 열기 여전
2024-12-11,KOSDAQ,5,0.034506622701883316,[만물상] 독도 쥐
2024-12-11,KOSPI,1,0.03678806498646736,"두산그룹, 결국 사업재편 철회 계엄 여파 주가 급락 영향"
2024-12-11,KOSPI,2,0.03535861521959305,"애플, '트럼프 관세' 우려에도 주가 오르네 월가도 '갸우뚱'"
2024-12-11,KOSPI,3,0.034824270755052567,"美 상무부, 마이크론에 61억달러 보조금 최종 확정"
2024-12-11,KOSPI,4,0.03478827327489853,12 3 내란사태 뒤 첫 강남 분양 ‘로또 청약’ 열기 여전
2024-12-11,KOSPI,5,0.034506622701883316,[만물상] 독도 쥐
2024-12-12,KOSDAQ,1,0.03562632203102112,유학 간 자식에게 “돈 아껴 써라“... 환율 급등에 학부모 비명
2024-12-12,KOSDAQ,2,0.03520433232188225,[천자칼럼] '앵커 베이비' 없애겠다는 트럼프
2024-12-12,KOSDAQ,3,0.03465954214334488,"무역전쟁 앞둔 中 ""내년 위안화 약세 허용 고려 중"""
2024-12-12,KOSDAQ,4,0.03456012159585953,"""의료보험 불만으로 美보험사와 의료인 대상 위협 증가"""
2024-12-12,KOSDAQ,5,0.034553591161966324,"윤, ‘계엄 회의 거부’ 류혁 감찰관 사표 수리 대통령실 “위임전결”"
