index,horizon,n_test,accuracy,macro_f1,majority_acc
KOSPI,1,22,0.36363636363636365,0.3394249512670566,0.5454545454545454
KOSPI,5,22,0.36363636363636365,0.3462184873949579,0.45454545454545453
KOSPI,21,22,0.6818181818181818,0.2702702702702703,0.7272727272727273
KOSPI,252,22,1.0,0.3333333333333333,1.0
KOSDAQ,1,22,0.36363636363636365,0.17777777777777778,0.5454545454545454
KOSDAQ,5,22,0.5,0.39402427637721754,0.45454545454545453
KOSDAQ,21,22,0.2727272727272727,0.18260869565217389,0.18181818181818182
KOSDAQ,252,22,1.0,0.3333333333333333,1.0
