index,horizon,n_test,accuracy,macro_f1,majority_acc
KOSPI,1,19,0.10526315789473684,0.09206349206349207,0.47368421052631576
KOSPI,5,19,0.3157894736842105,0.1818181818181818,0.631578947368421
KOSPI,21,19,0.3157894736842105,0.3068181818181818,0.2631578947368421
KOSPI,252,19,0.0,0.0,0.0
KOSDAQ,1,19,0.42105263157894735,0.27647714604236345,0.5789473684210527
KOSDAQ,5,19,0.3157894736842105,0.19047619047619047,0.7368421052631579
KOSDAQ,21,19,0.47368421052631576,0.2884615384615385,0.47368421052631576
KOSDAQ,252,19,1.0,0.3333333333333333,1.0
