year,horizon,n,model_acc,always_up_acc,model_up_rate,actual_up_rate
2024,1,244,0.5245901639344263,0.430327868852459,0.6024590163934426,0.430327868852459
2024,5,244,0.5901639344262295,0.4262295081967213,0.3114754098360656,0.4262295081967213
2025,1,242,0.45454545454545453,0.5413223140495868,0.5578512396694215,0.5413223140495868
2025,5,242,0.44214876033057854,0.6198347107438017,0.24380165289256198,0.6198347107438017
