index,horizon,n_test,accuracy,macro_f1,tau_lo,tau_hi
삼성전자,1,242,0.40082644628099173,0.350206197714151,0.0,2.0
삼성전자,5,242,0.4090909090909091,0.31681646514301726,0.0,2.0
삼성전자,21,242,0.47107438016528924,0.3233637446391835,1.0,2.0
삼성전자,252,93,0.40860215053763443,0.19338422391857504,1.0,2.0
