date,index,n_active,norm_entropy,top1_lift,top5_mass
2025-01-02,삼성전자,32,0.6083751439873579,8.61473274230957,0.8000544905662537
2025-01-03,삼성전자,16,0.4406161978488239,7.467057228088379,0.9708231687545776
2025-01-06,삼성전자,27,0.6038413586350958,7.930168151855469,0.8553522825241089
2025-01-07,삼성전자,19,0.5184780783548122,6.395219802856445,0.944787323474884
2025-01-08,삼성전자,15,0.45272110797800497,9.4918851852417,0.9475472569465637
2025-01-09,삼성전자,29,0.6574996808467547,7.533163547515869,0.7778622508049011
2025-01-10,삼성전자,22,0.6280395190829674,9.406353950500488,0.8177766799926758
2025-01-13,삼성전자,22,0.4329652784103467,13.662436485290527,0.9473539590835571
2025-01-14,삼성전자,17,0.704718477422662,5.474539279937744,0.8358781337738037
2025-01-15,삼성전자,17,0.678617816449035,6.409954071044922,0.8089329600334167
2025-01-16,삼성전자,9,0.580948569858123,4.254001617431641,0.9951042532920837
2025-01-17,삼성전자,6,0.3158897079303013,5.210679054260254,0.9962055087089539
2025-01-20,삼성전자,26,0.6258477154885024,5.846500873565674,0.8209003806114197
2025-01-21,삼성전자,9,0.6426432987815354,3.2895572185516357,0.9979302287101746
2025-01-22,삼성전자,14,0.1039657348504637,13.3955078125,0.9837220907211304
2025-01-23,삼성전자,10,0.6076205060655837,5.0307817459106445,0.977581799030304
2025-01-24,삼성전자,34,0.6944527279444049,6.608124256134033,0.6816266179084778
2025-01-31,삼성전자,61,0.5999278043840099,16.347457885742188,0.7303756475448608
2025-02-03,삼성전자,38,0.5671613922098078,10.228604316711426,0.8242497444152832
2025-02-04,삼성전자,28,0.7325924314687099,4.70725154876709,0.630046010017395
2025-02-05,삼성전자,30,0.532463569548217,11.649019241333008,0.893185555934906
2025-02-06,삼성전자,17,0.493273700035099,6.4009785652160645,0.970177412033081
2025-02-07,삼성전자,19,0.6262227156867671,5.258529186248779,0.902694582939148
2025-02-10,삼성전자,29,0.65647875555072,8.862800598144531,0.7533077597618103
2025-02-11,삼성전자,21,0.6291711472004466,6.024174690246582,0.8740113973617554
2025-02-12,삼성전자,25,0.5263748322175922,7.938653945922852,0.9369940757751465
2025-02-13,삼성전자,18,0.5156986349464385,10.667859077453613,0.9074387550354004
2025-02-14,삼성전자,10,0.5438182209603465,5.512661933898926,0.9825479984283447
2025-02-17,삼성전자,19,0.4456855436378825,7.213698863983154,0.9836634993553162
2025-02-18,삼성전자,19,0.5296331735575819,6.692728519439697,0.9748984575271606
2025-02-19,삼성전자,21,0.49029571728978394,8.767724990844727,0.9535835981369019
2025-02-20,삼성전자,17,0.7210805191105722,3.045431137084961,0.8322978019714355
2025-02-21,삼성전자,15,0.539331830498707,7.7732415199279785,0.9540001153945923
2025-02-24,삼성전자,18,0.5928623692868662,6.360110282897949,0.9333204030990601
2025-02-25,삼성전자,16,0.613007565481408,5.790048599243164,0.9276773929595947
2025-02-26,삼성전자,12,0.40126754599183034,8.3958158493042,0.9782513380050659
2025-02-27,삼성전자,11,0.3040684039433718,8.879002571105957,0.9927128553390503
2025-02-28,삼성전자,18,0.3786737982344945,8.72675609588623,0.982714056968689
2025-03-04,삼성전자,33,0.63355374447297,11.156827926635742,0.738669216632843
