index,horizon,n_test,accuracy,macro_f1,majority_acc
KOSPI,1,244,0.3073770491803279,0.2998958788526173,0.35655737704918034
KOSPI,5,244,0.3483606557377049,0.34959009417126546,0.3729508196721312
KOSPI,21,244,0.35655737704918034,0.303658727288538,0.36065573770491804
KOSPI,252,244,0.430327868852459,0.22375710482768543,0.10655737704918032
KOSDAQ,1,244,0.3319672131147541,0.2647190560034597,0.3401639344262295
KOSDAQ,5,244,0.38114754098360654,0.2786086956521739,0.3360655737704918
KOSDAQ,21,244,0.3442622950819672,0.29072920737705016,0.27459016393442626
KOSDAQ,252,244,0.3319672131147541,0.29426129426129427,0.5081967213114754
