index,horizon,subset,n,bin_acc,bin_p,IC,IC_p,ls_ret,ls_p,hit
KOSDAQ,1,전체,244,0.5371428571428571,0.36438838640898524,0.062523078448137,0.33076284356943897,0.0015607994571113476,0.11157768446310738,0.5204918032786885
KOSDAQ,1,고확신,81,0.5740740740740741,0.3408909412200971,0.0038166214995483286,0.9730240215399075,0.0014783056510174492,0.26194761047790444,0.5925925925925926
KOSDAQ,5,전체,244,0.4739583333333333,0.5161096341329208,0.1122543978125555,0.08011817220918925,7.46881468220494e-05,0.9708058388322336,0.48770491803278687
KOSDAQ,5,고확신,81,0.5294117647058824,0.716300760154337,0.19771906052393856,0.07683964970370619,0.002537206848188929,0.499500099980004,0.5061728395061729
KOSPI,1,전체,244,0.5748502994011976,0.06296242380456342,0.11985262836160573,0.06158278193667785,0.000838552011942828,0.28494301139772044,0.5532786885245902
KOSPI,1,고확신,82,0.5849056603773585,0.27167916606550335,0.070493355535965,0.529134143567983,0.0010804544667683898,0.33553289342131576,0.5487804878048781
KOSPI,5,전체,244,0.5418994413407822,0.29535240587693534,0.18226749108872448,0.004284003098699305,0.001742431121840565,0.27214557088582286,0.5491803278688525
KOSPI,5,고확신,81,0.6612903225806451,0.015134080997447081,0.21027551942186087,0.05953928079945141,0.007146563918972863,0.01219756048790242,0.6666666666666666
