index,horizon,n_test,accuracy,macro_f1,tau_lo,tau_hi
KOSPI,1,244,0.3073770491803279,0.3062388591800357,11.0,24.0
KOSPI,5,244,0.32786885245901637,0.32433496772076986,10.0,24.0
KOSPI,21,244,0.35655737704918034,0.3542954842665766,14.0,27.0
KOSPI,252,244,0.2540983606557377,0.231570335473579,18.0,25.0
KOSDAQ,1,244,0.319672131147541,0.3179147734219634,11.0,23.0
KOSDAQ,5,244,0.2827868852459016,0.2791170409517954,11.0,22.0
KOSDAQ,21,244,0.30327868852459017,0.2943213752737562,13.0,23.0
KOSDAQ,252,244,0.26639344262295084,0.2265189205487713,20.0,27.0
