index,horizon,n_test,accuracy,macro_f1,majority_acc
KOSPI,1,244,0.3237704918032787,0.3216297542285768,0.35655737704918034
KOSPI,5,244,0.3319672131147541,0.32192665571975915,0.3729508196721312
KOSPI,21,244,0.38524590163934425,0.380579619418639,0.36065573770491804
KOSPI,252,244,0.5778688524590164,0.3031280386759248,0.10655737704918032
KOSDAQ,1,244,0.3114754098360656,0.27544429064642895,0.3401639344262295
KOSDAQ,5,244,0.3483606557377049,0.3061669324827219,0.3360655737704918
KOSDAQ,21,244,0.3237704918032787,0.2967524174420726,0.27459016393442626
KOSDAQ,252,244,0.3483606557377049,0.28265535633956684,0.5081967213114754
