index,horizon,n_test,accuracy,macro_f1,majority_acc
KOSPI,1,244,0.35655737704918034,0.35480686604282113,0.35655737704918034
KOSPI,5,244,0.32786885245901637,0.32415199540783374,0.3729508196721312
KOSPI,21,244,0.4139344262295082,0.3759318172891874,0.36065573770491804
KOSPI,252,244,0.5286885245901639,0.27931112010432124,0.10655737704918032
KOSDAQ,1,244,0.36475409836065575,0.31061172684209337,0.3401639344262295
KOSDAQ,5,244,0.38114754098360654,0.3273028795416855,0.3360655737704918
KOSDAQ,21,244,0.36475409836065575,0.2945975107899227,0.27459016393442626
KOSDAQ,252,244,0.4385245901639344,0.3266976332669764,0.5081967213114754
