index,horizon,n_test,accuracy,macro_f1,majority_acc
KOSPI,1,244,0.3114754098360656,0.3050938383459927,0.35655737704918034
KOSPI,5,244,0.32786885245901637,0.32063657273004004,0.3729508196721312
KOSPI,21,244,0.3401639344262295,0.3294329196288434,0.36065573770491804
KOSPI,252,244,0.5860655737704918,0.26295093556012106,0.10655737704918032
KOSDAQ,1,244,0.2827868852459016,0.23599558460965708,0.3401639344262295
KOSDAQ,5,244,0.3319672131147541,0.26699652268145685,0.3360655737704918
KOSDAQ,21,244,0.3319672131147541,0.2712545843480376,0.27459016393442626
KOSDAQ,252,244,0.35655737704918034,0.30978564927311136,0.5081967213114754
