split,year,horizon,n,model_acc,always_up_acc,model_up_rate,actual_up_rate
val,2023,1,245,0.5346938775510204,0.5102040816326531,0.40408163265306124,0.5102040816326531
val,2023,5,245,0.5428571428571428,0.5346938775510204,0.5755102040816327,0.5346938775510204
test,2024,1,244,0.5,0.430327868852459,0.45491803278688525,0.430327868852459
test,2025,1,242,0.5743801652892562,0.5413223140495868,0.5785123966942148,0.5413223140495868
test,2024,5,244,0.5204918032786885,0.4262295081967213,0.38114754098360654,0.4262295081967213
test,2025,5,242,0.5,0.6198347107438017,0.32644628099173556,0.6198347107438017
