index,horizon,n_test,accuracy,macro_f1,tau_lo,tau_hi
삼성전자,1,486,0.5205761316872428,0.5177811750778232,1.0,1.0
삼성전자,5,486,0.5164609053497943,0.510187802085165,1.4331983805668074,1.4331983805668074
삼성전자,21,486,0.5411522633744856,0.5395126511015276,2.0,2.0
삼성전자,252,337,0.42136498516320475,0.41888844674359993,2.0,2.0
