index,horizon,n_test,accuracy,macro_f1,majority_acc
KOSPI,1,244,0.38524590163934425,0.37996359468752106,0.35655737704918034
KOSPI,5,244,0.3319672131147541,0.32776789345935414,0.3729508196721312
KOSPI,21,244,0.3483606557377049,0.3319388670697086,0.36065573770491804
KOSPI,252,244,0.47540983606557374,0.34780318582848163,0.10655737704918032
KOSDAQ,1,244,0.36065573770491804,0.29216325878542165,0.3401639344262295
KOSDAQ,5,244,0.3770491803278688,0.33771340161298635,0.3360655737704918
KOSDAQ,21,244,0.319672131147541,0.2887925538696927,0.27459016393442626
KOSDAQ,252,244,0.5245901639344263,0.3650227767874827,0.5081967213114754
