index,horizon,n_test,accuracy,macro_f1,majority_acc
KOSPI,1,244,0.3114754098360656,0.30316084768729207,0.35655737704918034
KOSPI,5,244,0.3073770491803279,0.30759840254729953,0.3729508196721312
KOSPI,21,244,0.3483606557377049,0.29174406153504856,0.36065573770491804
KOSPI,252,244,0.4713114754098361,0.2396226893526384,0.10655737704918032
KOSDAQ,1,244,0.3319672131147541,0.2622831221584349,0.3401639344262295
KOSDAQ,5,244,0.38114754098360654,0.27392153381856915,0.3360655737704918
KOSDAQ,21,244,0.3442622950819672,0.29492896524360274,0.27459016393442626
KOSDAQ,252,244,0.3524590163934426,0.3080986344400832,0.5081967213114754
