index,horizon,n_test,accuracy,macro_f1,majority_acc
KOSPI,1,244,0.3319672131147541,0.33252633421117944,0.35655737704918034
KOSPI,5,244,0.2827868852459016,0.27063013157871363,0.3729508196721312
KOSPI,21,244,0.3729508196721312,0.3489782384180258,0.36065573770491804
KOSPI,252,244,0.6065573770491803,0.26952533929278116,0.10655737704918032
KOSDAQ,1,244,0.3401639344262295,0.2941323431531289,0.3401639344262295
KOSDAQ,5,244,0.3114754098360656,0.2595209096868389,0.3360655737704918
KOSDAQ,21,244,0.3237704918032787,0.2753579638505341,0.27459016393442626
KOSDAQ,252,244,0.3319672131147541,0.29673150724153385,0.5081967213114754
