index,horizon,n_test,accuracy,macro_f1,majority_acc
KOSPI,1,21,0.5238095238095238,0.45407407407407413,0.5238095238095238
KOSPI,5,21,0.38095238095238093,0.19753086419753085,0.6190476190476191
KOSPI,21,21,0.14285714285714285,0.0909090909090909,0.23809523809523808
KOSPI,252,21,0.9523809523809523,0.3252032520325203,0.0
KOSDAQ,1,21,0.5238095238095238,0.23655913978494625,0.5238095238095238
KOSDAQ,5,21,0.7142857142857143,0.4411764705882353,0.6666666666666666
KOSDAQ,21,21,0.19047619047619047,0.1111111111111111,0.3333333333333333
KOSDAQ,252,21,1.0,0.3333333333333333,1.0
